,Temperature,Y,cosD,sinD,Continuous_urban_fabric,Discontinuous_urban_fabric,Industrial_or_commercial_units,Road_and_rail_networks_and_associated_land,Green_urban_areas,Sport_and_leisure_facilities,Non-irrigated_arable_land,Vineyards,Pastures,Complex_cultivation_patterns,"Land_principally_occupied_by_agriculture,_with_significant_areas_of_natural_vegetation",Broad-leaved_forest,Coniferous_forest,Mixed_forest,Natural_grasslands,Transitional_woodland-shrub,Water_courses
Bellis,5.627053315221631e-06,-4.737038212380796e-06,-5.007743697112008e-07,3.95607403076288e-06,-6.76255424510135e-06,-8.564386738794478e-06,-1.0040778991733277e-05,2.5392150614881574e-06,5.546474350327947e-06,-1.7203068118152812e-06,-5.461005704631345e-06,-2.1270462057885516e-06,-6.562576635435545e-06,3.972068870000386e-06,-2.8255364404974408e-06,-4.804359559673394e-06,-3.907711512079969e-06,3.1634416314243245e-06,-2.4607885009595537e-06,-1.1185213619094094e-05,-1.8079738245659334e-06
Leucanthemum,9.831613811084764e-06,-8.182101672605069e-06,-1.1291033748231126e-06,7.789725885930051e-06,-1.171871587513624e-05,-1.4888113052185657e-05,-1.7678172591887087e-05,5.858203647542114e-06,9.067674447222002e-06,-5.991413994768751e-06,-9.17187715013539e-06,-3.3949162415591746e-06,-1.0934800418788108e-05,9.006431767266622e-06,-5.064608647131117e-06,-8.384402797999493e-06,-5.571294582948523e-06,6.0031271667968935e-06,-3.884345258780043e-06,-1.911488984951094e-05,-2.600061526224482e-06
Malus,8.34947382155879e-06,-7.159119785052508e-06,-1.4304230740309683e-07,5.651988212093768e-06,-1.0648733911006488e-05,-1.2930308645471604e-05,-1.395631410909839e-05,-1.1738889672175583e-06,8.374029943745959e-06,-1.0445424297037842e-06,-9.120575495931404e-06,-3.6373315608317775e-06,-1.1442538890129413e-05,3.114123546088052e-06,-4.056942642921877e-06,-9.413888636052175e-06,-6.382835643273457e-06,4.742002804180502e-06,-5.009621446920012e-06,-1.2093197795576598e-05,-2.5393812544921322e-06
Philadelphus,8.820169162670657e-06,-7.381106992712515e-06,-4.261944440312899e-07,6.1005744909909795e-06,-1.088165819762183e-05,-1.3483620091882096e-05,-1.4936441850785251e-05,1.1045006557144694e-06,8.380024394192822e-06,-2.4568886542987768e-06,-9.26066460129454e-06,-3.4865263386034682e-06,-1.1289926391887441e-05,5.1128429687401836e-06,-4.7148315342068475e-06,-8.911934093369209e-06,-6.392649130315947e-06,4.6470495270883594e-06,-4.519985965141762e-06,-1.4417002291950735e-05,-2.692194365837307e-06
Rhododendron,5.186144869355759e-06,-4.699949255887581e-06,1.6840110193846554e-07,2.4172941443502863e-06,-6.904784300729716e-06,-7.93316361731892e-06,-8.84298303109037e-06,-2.4057809980690084e-06,5.455853666060444e-06,-2.455212091327806e-07,-5.429001777463767e-06,-1.479771370745891e-06,-6.90694072783635e-06,-4.897738547566309e-08,-1.1510836628344142e-06,-5.467885662328897e-06,-4.052191319168723e-06,3.396940244692183e-06,-3.357976378220131e-06,-6.885883994966789e-06,-7.230685867739192e-07
Trifolium,5.690645844830265e-06,-4.870138845371345e-06,-2.1472807714643509e-07,3.0433907745156886e-06,-6.738987502707213e-06,-8.316105947010576e-06,-9.465980270133248e-06,8.945334535584263e-07,5.743677144300467e-06,-6.549314812370739e-07,-6.059597827329678e-06,-2.2973488439506465e-06,-7.31891302831762e-06,2.1261667177011344e-06,-1.5724611096390866e-06,-5.786850179201898e-06,-3.371627569750607e-06,3.553785727135229e-06,-2.884913265235305e-06,-8.954343123661382e-06,-1.9146222246415593e-06
Heracleum,9.743100903732252e-06,-8.581787187512087e-06,-1.1336206224749135e-06,7.780101125104347e-06,-1.2376507453233273e-05,-1.5314576584288604e-05,-1.9571340630075764e-05,4.9717936292614664e-06,8.847550637806664e-06,-8.061626346124268e-06,-8.325709262706718e-06,-2.1243568202503317e-06,-9.743436258410017e-06,8.373271656558804e-06,-4.610255032150806e-06,-7.232610467531788e-06,-6.4383652304666935e-06,6.60366498241589e-06,-3.910916812916951e-06,-2.1076571720424078e-05,-7.724862335954848e-07
Sedum,7.157582858378124e-06,-6.193331874831896e-06,-7.217713271489808e-07,4.630620840239715e-06,-8.491921471180993e-06,-1.0869541312920678e-05,-1.3360084271572404e-05,3.119656311615861e-06,6.919892457010513e-06,-3.172736403674196e-07,-8.654038771888566e-06,-4.281681384910483e-06,-9.698206949175745e-06,3.6268288999773067e-06,-2.112995195600772e-06,-8.381774175530858e-06,-4.173474271243877e-06,4.796125727379729e-06,-3.364303105456525e-06,-1.3129935918318253e-05,-4.1800550252746765e-06
Papaver,5.93772957696732e-06,-5.211778912324237e-06,-2.2974861489821616e-07,3.3615425795179483e-06,-7.1418843056362415e-06,-8.908751637719989e-06,-1.0146061773400803e-05,6.207786186488904e-07,6.216944829910987e-06,9.253870616220046e-07,-7.072095695743031e-06,-3.3659409814398627e-06,-8.409000890459199e-06,1.6515009508540352e-06,-1.6144173686323282e-06,-7.005735298041573e-06,-3.802486634795126e-06,3.7834377335544674e-06,-3.1663285719407767e-06,-9.381125989407658e-06,-3.1845322929324105e-06
Ribes,5.800017711131897e-06,-5.116129243369617e-06,5.7163975648297495e-08,3.300261865764457e-06,-7.466952916202499e-06,-8.993380442194036e-06,-9.963850193811612e-06,-1.950661467511971e-06,5.8785293256448226e-06,5.951396465697907e-07,-6.892679980059624e-06,-2.802488344452015e-06,-8.403348487267149e-06,6.51694765377718e-07,-2.341767579551003e-06,-7.096117403675707e-06,-4.887939333937571e-06,3.2973871864384754e-06,-3.7540268713615303e-06,-8.18527390464662e-06,-2.112910725728322e-06
Viola,3.4462856313801484e-06,-3.0292226098965783e-06,1.0117200369202123e-07,1.8800165786044982e-06,-4.448511408560692e-06,-5.367550652510353e-06,-5.6870988588228985e-06,-1.492743516254067e-06,3.6362565408137193e-06,4.18871563972309e-07,-4.183280263669622e-06,-1.7771134849605143e-06,-5.215657880096437e-06,3.087262121304599e-07,-1.5520459338075824e-06,-4.494739406831897e-06,-2.8474852424750227e-06,1.963809056342032e-06,-2.4281319418574123e-06,-4.358996184285999e-06,-1.2053805355423763e-06
Ajuga,5.847211854052147e-06,-5.137356752056804e-06,2.619721698137047e-07,3.5721674245246843e-06,-7.350511765271222e-06,-8.705069601437575e-06,-9.352861302868407e-06,-2.9236362251677416e-06,5.976826249861915e-06,-4.3659999809062064e-07,-6.096883171177869e-06,-2.089666722096907e-06,-7.886359950861672e-06,1.6337330013527663e-07,-1.980647760016723e-06,-6.623970725974004e-06,-4.794893054699969e-06,3.5032511182180304e-06,-3.927101093026977e-06,-7.275186779764336e-06,-7.83957006141236e-07
Rubus,7.732478154261787e-06,-6.796002971399443e-06,-4.7231497705256414e-07,4.739786121119212e-06,-9.903073936001445e-06,-1.1812991488192234e-05,-1.4181035733171806e-05,4.893269939763233e-07,7.74984871620863e-06,-2.043543859694148e-06,-7.79726761111436e-06,-2.6543331267416157e-06,-9.344690867720458e-06,2.473750543179858e-06,-1.8611039841347052e-06,-7.745460150456604e-06,-5.260014849687239e-06,5.468325377864623e-06,-4.326031518184491e-06,-1.310131274297487e-05,-1.6586329424321407e-06
Lavandula,6.223609822961681e-06,-5.650435732597363e-06,7.550070799136845e-08,2.599675031847863e-06,-7.791532349237258e-06,-9.574600562582773e-06,-1.0846554885217551e-05,-1.5607057505134454e-06,6.734625882262999e-06,1.6930605819594552e-06,-8.335376907946445e-06,-3.787963600601281e-06,-9.849805109219012e-06,-2.0534611838078797e-08,-1.5009079807205854e-06,-8.552557757344041e-06,-4.41902112322282e-06,4.064586428720414e-06,-4.1050487116515325e-06,-8.446669828661089e-06,-3.0610682725694953e-06
Carduus,8.304223986615358e-06,-7.196789189982952e-06,-7.239676893973261e-07,5.245733965982249e-06,-1.0017455789172781e-05,-1.2616736884874721e-05,-1.5335660140545975e-05,2.9148146406009442e-06,8.166307001561257e-06,-1.6359532386994371e-06,-9.310768074910736e-06,-4.098168240950712e-06,-1.0732376902814328e-05,4.1815346669977725e-06,-2.599605437019083e-06,-9.065732541546352e-06,-4.959350277903242e-06,5.640131586335413e-06,-4.146593362152023e-06,-1.4957326359187304e-05,-3.474732273465545e-06
Daucus,8.75127753308675e-06,-7.700252472432987e-06,-1.1621217781286604e-06,7.266307174316904e-06,-1.0902590577389308e-05,-1.3829827806761699e-05,-1.7822613152180186e-05,5.79236838157038e-06,7.779380393914694e-06,-7.776958515555476e-06,-8.018558473064958e-06,-2.516625622261241e-06,-9.266219438513866e-06,8.751253554961223e-06,-4.447684186222501e-06,-7.149104693846845e-06,-5.063577999435897e-06,6.08514668024486e-06,-3.2749965955435864e-06,-1.9006046024534248e-05,-1.40338268130212e-06
Chaerophyllum,1.0220188742982988e-05,-8.736385937752731e-06,-9.085969073822648e-07,8.1346706986828e-06,-1.3249767523666803e-05,-1.57692118356076e-05,-1.8549192859319045e-05,3.0803846136398336e-06,9.476052084229445e-06,-8.031181929252162e-06,-8.01284875726945e-06,-1.54647920603687e-06,-1.0120718957443589e-05,8.110836630948836e-06,-4.786018942451556e-06,-7.315221551981169e-06,-6.549251912274116e-06,6.661980534458826e-06,-4.54122760039009e-06,-1.8987974490807604e-05,-1.2641529882008092e-07
Genista,8.042029862299465e-06,-6.690763227591592e-06,-5.377407589017114e-07,5.755106123202675e-06,-9.506781860884368e-06,-1.2027590779553065e-05,-1.334898701283497e-05,2.8883949988994584e-06,7.5804821695462385e-06,-2.6605620239760174e-06,-8.44401530487783e-06,-3.4436082354199478e-06,-1.020738620562765e-05,5.9138569289179125e-06,-4.030502620469636e-06,-7.976549180484276e-06,-4.656551374760477e-06,4.458105367857816e-06,-3.5040091760077784e-06,-1.3293911132968059e-05,-3.065018667351665e-06
Erica,5.600449665308566e-06,-4.927619986413894e-06,-2.8665767717277828e-08,3.418484808724256e-06,-7.068751457814417e-06,-8.975827557974206e-06,-9.993200002506673e-06,-7.428000315563396e-07,5.683386431949768e-06,1.6777121473838354e-07,-7.146642437012859e-06,-3.2760030294194104e-06,-8.556779916159264e-06,1.950386233303779e-06,-3.4781009548210346e-06,-7.180235118391245e-06,-4.906326927428062e-06,2.793681243984355e-06,-3.5403881709725536e-06,-8.939739595047723e-06,-2.4938233639259827e-06
Prunus,6.769964539782866e-06,-5.8362583223145395e-06,-9.590566199521681e-08,4.4438626550023985e-06,-8.527319154917943e-06,-1.065454876825984e-05,-1.1636573583527605e-05,-9.352726531017725e-07,6.768401799506476e-06,1.4737754215429715e-07,-8.214269427908813e-06,-3.7496367352759117e-06,-9.969126669896302e-06,2.4051831883562086e-06,-3.873727264814926e-06,-8.436581168959312e-06,-5.600726162249572e-06,3.5310749086438966e-06,-4.204716298284453e-06,-1.0228596754697043e-05,-2.941892130747768e-06
Ranunculus,7.22120053972544e-06,-6.04728945182624e-06,-6.199036802715431e-07,4.993754335517787e-06,-8.934094845990683e-06,-1.0718176543915544e-05,-1.2223439827037395e-05,2.0024334745124644e-06,7.265679039392126e-06,-1.8482440263910215e-06,-6.581448890469876e-06,-2.386977751162769e-06,-8.20483860270009e-06,3.8080580035464208e-06,-2.0382622757929928e-06,-6.3838104318112585e-06,-4.194877463630738e-06,4.913001146131114e-06,-3.4693546433771165e-06,-1.2235936946784829e-05,-2.0287323157106523e-06
Taraxacum,6.369197751161816e-06,-5.410953016829803e-06,-4.0410812046172824e-07,3.980407827326499e-06,-7.856177866891015e-06,-9.569519555969646e-06,-1.0922321627728114e-05,1.041022414634221e-06,6.55081307064869e-06,-4.140775261007171e-07,-6.480494971358182e-06,-2.621104358859486e-06,-7.950928728921682e-06,2.530363590984516e-06,-2.0092641687589115e-06,-6.293201804941807e-06,-4.234057350309771e-06,4.071191005763502e-06,-3.3380510068447733e-06,-1.0743765026456142e-05,-2.2791060879064583e-06
Caltha,8.366239274697103e-06,-6.915004233113515e-06,-7.783432810177635e-07,5.864446367670188e-06,-1.0116778683888177e-05,-1.2383828047209784e-05,-1.4197733968233348e-05,3.1658050150910848e-06,8.05754468111835e-06,-1.5287089553004714e-06,-8.071763625959962e-06,-3.2124475740196807e-06,-9.75382357973485e-06,5.03475053414653e-06,-2.7826507841187513e-06,-7.4366249788795335e-06,-4.880154857918991e-06,5.225127871069292e-06,-3.637149008292389e-06,-1.4709151827958068e-05,-3.353481507864283e-06
Viburnum,6.387227682934772e-06,-5.5312595948656326e-06,-2.4245387812126737e-07,3.90302981314004e-06,-8.00255599407439e-06,-9.893986242987875e-06,-1.1208595394845006e-05,7.275680474059114e-07,6.477498729825036e-06,-1.2492062956021563e-06,-6.7202689660875046e-06,-2.5184416769847998e-06,-8.20847328306372e-06,3.2298168300332806e-06,-3.1944443015415915e-06,-6.3016020823887175e-06,-4.7075606180031346e-06,3.5949701489402676e-06,-3.3615679924348685e-06,-1.1052884361601247e-05,-1.9229074546904614e-06
Pyrus,6.722957595485468e-06,-5.6507284544693435e-06,-2.8650621114342847e-07,4.782153144400167e-06,-8.676079014662715e-06,-1.0484458102098417e-05,-1.1386269237362967e-05,-5.958605995884936e-07,6.649386031678973e-06,-1.035514206071925e-06,-7.162097362584996e-06,-2.8788973842251713e-06,-8.971694592647238e-06,2.8496291720010454e-06,-3.381769698838967e-06,-7.459128103516121e-06,-5.169107289939133e-06,3.886414850740038e-06,-4.069205826944255e-06,-1.0065159171013248e-05,-2.0607078872880708e-06
Centaurea,7.1753947762804234e-06,-6.185626676415411e-06,-6.798257465188328e-07,4.099986078967162e-06,-8.539031340888568e-06,-1.0601637526990801e-05,-1.299650291523516e-05,2.7885198889747988e-06,7.259134229940135e-06,-8.868297029963183e-07,-7.737121060807669e-06,-3.3034862241557497e-06,-8.981496540389627e-06,2.9041094613656275e-06,-1.070877677194594e-06,-7.489871738472377e-06,-3.7544755389404495e-06,5.305519646422613e-06,-3.5643757151303417e-06,-1.2711476376188182e-05,-2.9550902363646642e-06
Syringa,7.454567365338484e-06,-6.181750162724802e-06,-4.003378594819704e-08,4.962767768097805e-06,-9.363022351255053e-06,-1.1427715583908064e-05,-1.1710589507903597e-05,-1.2820481209327313e-06,7.454466807991816e-06,-1.769948698742607e-06,-8.019425940785263e-06,-3.137915748105411e-06,-1.0201071896131805e-05,3.4167888975734327e-06,-4.5308137172332555e-06,-8.529554582444367e-06,-5.533077341051998e-06,3.886969439787188e-06,-4.677225452053499e-06,-9.885575270211446e-06,-1.7204793766393488e-06
Myosotis,7.64268367290369e-06,-6.507753515334851e-06,-5.562924243714036e-07,5.61521150063392e-06,-9.606173904914514e-06,-1.1748561137353743e-05,-1.3635511890210149e-05,1.1774518316937499e-06,7.700736597041692e-06,-1.5691642427321853e-06,-7.4974955968736445e-06,-2.989508255328342e-06,-9.196137527081018e-06,3.5266157919036584e-06,-3.13456569985108e-06,-7.417123239837525e-06,-5.81713253318832e-06,4.760967553920638e-06,-4.130681753929673e-06,-1.3762006441139764e-05,-2.122642222478878e-06
Euphorbia,8.326417130948323e-06,-6.962570143417459e-06,-6.758607376320055e-07,6.4581399346509375e-06,-1.0413608966025032e-05,-1.290565847570498e-05,-1.452042230390462e-05,2.9451771413916475e-06,7.804570974958828e-06,-4.783910490491792e-06,-7.892661445762586e-06,-2.685920962719419e-06,-9.753247768904624e-06,7.1314277867745505e-06,-5.047804050968695e-06,-7.373271448282782e-06,-5.353028226949229e-06,4.679172537929384e-06,-3.752513280516129e-06,-1.4823054356190922e-05,-1.8406066838083244e-06
Cardamine,7.536869383727359e-06,-6.3225422032887035e-06,-5.792441238674783e-07,5.756153714032947e-06,-9.232696985940096e-06,-1.1458296339232707e-05,-1.3360542865090577e-05,8.199656040043241e-07,7.522409095759981e-06,-2.348822007518472e-08,-7.926687560968599e-06,-3.837410535902642e-06,-9.4901924334974e-06,2.684668343165243e-06,-3.0325220965997814e-06,-8.247557086197055e-06,-5.992568710580093e-06,4.6589785004742615e-06,-4.338487178112297e-06,-1.3373666604068398e-05,-3.061672406200307e-06
Lathyrus,6.889378557832697e-06,-5.859599760893207e-06,-2.0182465011383672e-07,4.189760298811229e-06,-7.818050521772274e-06,-1.033866283224118e-05,-1.105256485559667e-05,2.2024546504246597e-06,6.6808724853310974e-06,-8.141694585877621e-07,-8.913758018410662e-06,-4.360260115504932e-06,-1.0524433165290615e-05,4.792217068148291e-06,-3.7553935080340336e-06,-8.669496112030576e-06,-3.4460537705919013e-06,3.5963723653626788e-06,-3.180165541795479e-06,-9.926391891263265e-06,-4.060568173594865e-06
Cistus,8.962989621524605e-06,-7.36114010159437e-06,-5.269512540211355e-07,6.6943358657178125e-06,-1.116307709074531e-05,-1.3770550796586667e-05,-1.4593756340958809e-05,1.1942761562592663e-06,8.71718047636141e-06,-3.931070721506206e-06,-9.236582903026814e-06,-3.7756177699176402e-06,-1.1575272088958344e-05,6.2659051276464285e-06,-5.390412386024033e-06,-9.811432676123926e-06,-5.630802706708429e-06,5.134006638271584e-06,-5.0313422772752505e-06,-1.317432295484231e-05,-2.2413823785603285e-06
Iris,7.213420663596172e-06,-6.0045646831117024e-06,-3.9901872583209257e-07,5.100729376454528e-06,-8.699456465770595e-06,-1.082104215799621e-05,-1.1672385084140618e-05,1.6734231410187035e-06,7.105980794675406e-06,-2.067222507209181e-06,-7.4726778362186845e-06,-3.10438282142895e-06,-9.281481431926671e-06,4.674478275056991e-06,-3.498653536037627e-06,-7.44679026630493e-06,-4.2344274216853825e-06,4.183728758433288e-06,-3.54765853837035e-06,-1.1115601957973694e-05,-2.473690439322708e-06
Aquilegia,5.4733468649439085e-06,-4.8863920420834404e-06,2.6071159199075103e-08,3.0430486262960396e-06,-7.049721628001343e-06,-8.304077638383338e-06,-9.253411313238756e-06,-1.3143066302572538e-06,5.672074866782038e-06,-6.900371488844925e-07,-5.72703932924945e-06,-1.8749467260296933e-06,-7.222443547933361e-06,1.0248656653146782e-06,-1.5332556516796103e-06,-5.823467801996735e-06,-3.855930908490075e-06,3.5837679302273638e-06,-3.2399195097403725e-06,-7.64427118115561e-06,-1.1467065174843224e-06
Rosa,7.349104493235987e-06,-6.227819386605153e-06,-4.799339427749937e-07,5.195832783254197e-06,-9.09953912502944e-06,-1.121841768260251e-05,-1.267270187111356e-05,1.6298144627914784e-06,7.174703871670142e-06,-2.393579441511134e-06,-7.526064581496053e-06,-2.9486976383568062e-06,-9.172812310356191e-06,4.461282492359433e-06,-3.3896732615292357e-06,-7.3947386127929766e-06,-4.745907657108135e-06,4.425365178929173e-06,-3.687541002779625e-06,-1.2259087013363836e-05,-2.223891034054121e-06
Senecio,7.198088771474967e-06,-6.146852168165447e-06,-8.257356962934406e-07,4.91449385321773e-06,-8.474496919047245e-06,-1.0931387884854484e-05,-1.3403036944629971e-05,4.444539411772236e-06,6.905455564144005e-06,-2.4784026261371662e-06,-7.747331496589665e-06,-3.389786993086359e-06,-8.88520416772313e-06,5.431036719567067e-06,-2.813052517067746e-06,-7.1204284864661144e-06,-3.864224849706594e-06,4.719523260626026e-06,-2.9883001489294598e-06,-1.4119551954089232e-05,-3.124882912126515e-06
Cotoneaster,8.670426192315814e-06,-7.5892587659342466e-06,-3.7478032959607577e-07,5.448530711298332e-06,-1.097716380558719e-05,-1.340249021820802e-05,-1.5846940722617206e-05,5.128751973076082e-07,8.422632930900597e-06,-2.8238360090030256e-06,-8.855189964729262e-06,-2.9110712729038332e-06,-1.0641232531664072e-05,3.877758775253762e-06,-3.732250107710087e-06,-8.426275317197367e-06,-6.529781192799289e-06,5.249215109748342e-06,-4.6002913059444705e-06,-1.520496896525527e-05,-1.8016997225426285e-06
Salvia,6.015543253068228e-06,-5.3862721547242386e-06,1.590305505250015e-07,2.91279460962603e-06,-7.44819386971435e-06,-9.17404779112997e-06,-9.91948884866073e-06,-1.603449014072539e-06,6.2995196092642555e-06,1.1292730386422167e-06,-7.856104885043819e-06,-3.5171920871458736e-06,-9.504293530199739e-06,7.241272076516892e-07,-1.991124705506456e-06,-8.105374231519367e-06,-4.089103571012886e-06,3.6269244866743624e-06,-3.7536139465028232e-06,-7.4637814694819e-06,-2.92214444472717e-06
Dianthus,6.001091659726399e-06,-5.111179134550305e-06,-5.860180952408197e-07,3.7596072276460465e-06,-7.363937420056853e-06,-8.959438197498806e-06,-1.0680910307915887e-05,0.0,6.139119180899729e-06,-2.0128616714322373e-06,-5.706669462492731e-06,-2.080449132382951e-06,-6.857050738205543e-06,3.2919917358066076e-06,-1.4975072216175756e-06,-5.454847330123966e-06,-3.225659081171041e-06,4.327608090958481e-06,-2.9053363207646264e-06,-1.07695516893112e-05,-1.5299050094710677e-06
Potentilla,7.944673452035703e-06,-6.673628268386872e-06,-8.581568150624537e-07,5.7309832120086824e-06,-9.568011124342931e-06,-1.1912052380443254e-05,-1.4131074754017732e-05,3.6316821350367146e-06,7.695943193581092e-06,-2.0084063672688745e-06,-8.012697451860145e-06,-3.3844024196136065e-06,-9.459496479696985e-06,5.0360230264680645e-06,-2.659052139891948e-06,-7.583189454699458e-06,-4.613920538386798e-06,5.204174557673404e-06,-3.4838139970165212e-06,-1.4622205783547158e-05,-3.1783339963951936e-06
